Name,Level,AgeDiff,Pull%,ISO,BB/K,Contact%,wRC+,AB,Final Score,BB%,K%,ZoneContact%,Whiff%,GB%,Chase%,O-Contact %,AvgEV,HardHit%,Barrel%,LastUpdated
59. Luke Waddell,AAA,-0.3,39.5,0.071,0.96,88,96,353,57.23878205,,,,,,,,,,,
58. Geraldo Quintero,,-0.7,48.4,0.146,0.6,74.6,108,335,47.34371795,,,,,,,,,,,
56. Ethan Workinger,,-0.7,52.7,0.161,0.48,77.9,104,441,49.67929487,,,,,,,,,,,
54. EJ Exposito,,0.3,45.3,0.152,0.27,73.5,107,348,35.72032051,,,,,,,,,,,
53. Drew Compton 1B,,0.3,45.2,0.09,0.38,74.8,101,399,32.9324359,,,,,,,,,,,
52. Angel Carmona,,-0.7,53.7,0.2,0.68,65.8,117,75,32.89383741,,,,,,,,,,,
51. Douglas Glod,,-0.4,34.4,0.129,0.43,65.1,109,272,24.1481352,,,,,,,,,,,
50. Junior Garcia,AA,-0.5,41.3,0.131,0.38,68,76,145,19.30465909,,,,,,,,,,,
47. Juan Mateo,,-1.5,39.8,0.039,0.5,78.4,88,307,37.1574359,,,,,,,,,,,
44. Kevin Kilpatrick,,0.3,36.8,0.045,0.36,71.5,70,313,20.19628205,,,,,,,,,,,
43. Ambioris Tavarez,,-1,43.3,0.063,0.34,59.5,90,384,18.8600641,,,,,,,,,,,
42. Michael Martinez,,0.3,57.5,0.295,0.53,69.9,151,95,43.64418706,,,,,,,,,,,
41. Mario Baez,,-1.5,46.1,0.028,1.33,75.3,94,134,38.82592949,,,,,,,,,,,
38. Isaiah Drake,A+,-1.4,35.2,0.084,0.45,77.3,111,441,37.50807692,,,,,,,,,,,
37. Nick Montgomery C,,-1.4,43,0.082,0.35,64.1,63,306,15.05,,,,,,,,,,,
36. Owen Carey,,-2.4,44.9,0.087,0.46,79.8,103,469,43.06339744,,,,,,,,,,,
35. Eric Hartman,,-1.4,55.2,0.118,0.46,74.4,109,338,43.15461538,,,,,,,,,,,
33. Cody Miller,,-2,43.8,0.121,0.25,73.2,148,107,31.19856643,,,,,,,,,,,
29. Dixon Williams,,0.6,38.3,0.194,0.46,71.3,151,93,32.70782343,,,,,,,,,,,
23. David McCabe,,-1.3,39.6,0.151,0.59,76.1,132,469,51.41025641,13,22.1,84.2,29,39.1,22.08,43.4,91.4,52.2,13.4,
20. Luis Guanipa,,-1.4,34,0.063,0.7,80.5,103,126,35.40576923,,,,,,,,,,,
19. Jose Perdomo,,-1.5,45.6,0.047,0.31,76.3,60,215,24.07179487,,,,,,,,,,,
17. Conor Essenburg,,0,0,0,0,0,0,0,2.5,,,,,,,,,,,
12. John Gil,,-1.4,48.3,0.113,0.86,77.4,114,424,55.90326923,12.5,14.5,,,,,,,,,
8. Diego Tornes,FCL,-1.7,50.6,0.123,0.72,67.6,117,122,33.75926573,,,,,,,,,,,
6. Alex Lodise,,-1,42.1,0.146,0.12,68.9,110,103,22.37407051,,,,,,,,,,,
5. Tate Southisene,,-2.4,45.9,0.078,0.04,61.3,58,64,7.904326923,,,,,,,,,,,
HM Will Verdung,,0,36.6,0.049,0.77,84.3,122,287,49.61025641,,,,,,,,,,,
HM Carlos Monteverde,,-0.5,49.1,0.042,0.67,76.2,76,165,30.15375,,,,,,,,,,,
